Categorie_1,Categorie_2,Categorie_3,Nb_Produits,CA_Total,Qty_Totale,Stock_Total,Prix_Moyen
Maison,Cuisine,Ustensiles,5,14563.21,71.0,765,258.89
Maison,Décoration,Coussins,5,32862.16,222.0,1684,152.65
Maison,Électroménager,Micro-ondes,5,14955.53,99.0,1681,193.13
Mode,Accessoires Mode,Sacs,2,27836.9,120.0,664,221.92
Mode,Chaussures,Sneakers,4,9201.87,49.0,709,123.8
Mode,Vêtements Femme,Robes,5,30056.7,184.0,1502,131.71
Mode,Vêtements Homme,T-shirts,3,6225.44,52.0,598,151.96
Santé,Bien-être,Compléments,2,2869.92,36.0,848,69.84
Sport,Fitness,Yoga,2,7322.57,101.0,592,165.76
Sport,Outdoor,Randonnée,2,7614.38,86.0,504,106.04
Sport,Sports Collectifs,Football,1,14938.29,61.0,135,244.89
Électronique,Accessoires,Cables,4,43175.58,102.0,1380,513.62
Électronique,Audio,Casques,5,201888.73,346.0,1167,592.34
Électronique,Ordinateurs,Laptops,2,7941.78,18.0,733,706.96
Électronique,Smartphones,iPhone,3,152542.0,145.0,644,1037.8
