products_id,pdt_name,categories_id,products_status,promo_id,category_1,category_2,category_3,ps_cat,pd_cat,pdt_id_x,qty,pdt_id_y,stock,pdt_segment,chiffre_affaires,marge_brute,taux_remise,statut_stock,performance
1,Produit Sneakers 001,7,inactive,,Mode,Chaussures,Sneakers,56.87,49.2,,0.0,1,177,Économique,0.0,0.0,13.49,Élevé,Aucune
2,Produit Casques 002,3,active,2.0,Électronique,Audio,Casques,1186.63,985.57,2.0,75.0,2,134,Premium,88997.25000000001,15079.500000000004,16.94,Élevé,Top
3,Produit iPhone 003,1,active,1.0,Électronique,Smartphones,iPhone,1114.95,1011.1,3.0,60.0,3,213,Économique,66897.0,6231.000000000002,9.31,Élevé,Top
4,Produit iPhone 004,1,active,4.0,Électronique,Smartphones,iPhone,1063.85,894.41,4.0,48.0,4,316,Économique,51064.799999999996,8133.119999999997,15.93,Élevé,Bon
5,Produit Compléments 005,15,active,,Santé,Bien-être,Compléments,79.72,75.18,5.0,36.0,5,374,Économique,2869.92,163.4399999999997,5.69,Élevé,Bon
6,Produit Sneakers 006,7,active,,Mode,Chaussures,Sneakers,216.54,176.28,6.0,2.0,6,143,Premium,433.08,80.51999999999998,18.59,Élevé,Moyen
7,Produit Compléments 007,15,inactive,4.0,Santé,Bien-être,Compléments,59.97,53.9,,0.0,7,474,Standard,0.0,0.0,10.12,Élevé,Aucune
8,Produit Casques 008,3,active,,Électronique,Audio,Casques,177.69,164.95,8.0,79.0,8,283,Économique,14037.51,1006.4600000000007,7.17,Élevé,Top
9,Produit Coussins 009,10,active,,Maison,Décoration,Coussins,51.97,44.73,9.0,26.0,9,135,Standard,1351.22,188.24000000000007,13.93,Élevé,Bon
10,Produit T-shirts 010,5,active,3.0,Mode,Vêtements Homme,T-shirts,119.72,101.14,10.0,52.0,10,84,Standard,6225.44,966.1599999999999,15.52,Normal,Top
11,Produit Yoga 011,12,active,2.0,Sport,Fitness,Yoga,294.79,241.29,11.0,14.0,11,426,Économique,4127.06,749.0000000000005,18.15,Élevé,Moyen
12,Produit Coussins 012,10,active,3.0,Maison,Décoration,Coussins,296.33,265.92,12.0,90.0,12,500,Premium,26669.699999999997,2736.899999999997,10.26,Élevé,Top
13,Produit Robes 013,6,active,4.0,Mode,Vêtements Femme,Robes,235.63,209.34,13.0,79.0,13,381,Standard,18614.77,2076.9099999999994,11.16,Élevé,Top
14,Produit iPhone 014,1,active,2.0,Électronique,Smartphones,iPhone,934.6,879.42,14.0,37.0,14,115,Standard,34580.200000000004,2041.6600000000024,5.9,Élevé,Bon
15,Produit Ustensiles 015,9,active,4.0,Maison,Cuisine,Ustensiles,253.82,203.99,15.0,2.0,15,49,Standard,507.64,99.65999999999997,19.63,Normal,Moyen
16,Produit Casques 016,3,active,1.0,Électronique,Audio,Casques,424.76,375.22,16.0,70.0,16,425,Standard,29733.2,3467.7999999999975,11.66,Élevé,Top
17,Produit Ustensiles 017,9,active,1.0,Maison,Cuisine,Ustensiles,154.01,151.46,17.0,48.0,17,284,Standard,7392.48,122.39999999999918,1.66,Élevé,Bon
18,Produit Micro-ondes 018,11,active,3.0,Maison,Électroménager,Micro-ondes,140.66,134.54,18.0,79.0,18,406,Premium,11112.14,483.48000000000036,4.35,Élevé,Top
19,Produit Sneakers 019,7,active,,Mode,Chaussures,Sneakers,186.57,168.22,19.0,47.0,19,380,Économique,8768.789999999999,862.4499999999997,9.84,Élevé,Bon
20,Produit Coussins 020,10,active,1.0,Maison,Décoration,Coussins,68.69,60.25,20.0,16.0,20,347,Premium,1099.04,135.03999999999996,12.29,Élevé,Moyen
21,Produit Coussins 021,10,inactive,1.0,Maison,Décoration,Coussins,304.66,296.29,,0.0,21,267,Standard,0.0,0.0,2.75,Élevé,Aucune
22,Produit Coussins 022,10,active,,Maison,Décoration,Coussins,41.58,37.73,22.0,90.0,22,435,Premium,3742.2,346.5000000000001,9.26,Élevé,Top
23,Produit T-shirts 023,5,inactive,4.0,Mode,Vêtements Homme,T-shirts,184.65,158.86,,0.0,23,253,Premium,0.0,0.0,13.97,Élevé,Aucune
24,Produit Casques 024,3,active,2.0,Électronique,Audio,Casques,285.25,279.06,24.0,65.0,24,102,Premium,18541.25,402.34999999999985,2.17,Élevé,Top
