sale_id,products_id,pdt_name,region_name,city_name,city_type,zone_climatique,density_type,quantity,date_vente
1,2,Produit Casques 002,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,38,2025-06-24
2,2,Produit Casques 002,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,27,2025-04-23
3,2,Produit Casques 002,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,2,2025-06-07
4,2,Produit Casques 002,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,2,2024-12-29
5,2,Produit Casques 002,Occitanie,Montpellier,Grande Ville,Sud,Moyen,2,2025-02-18
6,2,Produit Casques 002,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-02-03
7,2,Produit Casques 002,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,1,2025-03-05
8,2,Produit Casques 002,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2025-05-20
9,2,Produit Casques 002,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-03-29
10,3,Produit iPhone 003,Île-de-France,Versailles,Grande Ville,Nord,Dense,26,2025-01-04
11,3,Produit iPhone 003,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,27,2025-02-08
12,3,Produit iPhone 003,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,1,2025-01-19
13,3,Produit iPhone 003,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,1,2024-12-04
14,3,Produit iPhone 003,Occitanie,Nîmes,Grande Ville,Sud,Moyen,1,2025-04-26
15,3,Produit iPhone 003,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-08-12
16,3,Produit iPhone 003,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2025-01-19
17,3,Produit iPhone 003,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2025-06-18
18,3,Produit iPhone 003,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-05-17
19,4,Produit iPhone 004,Île-de-France,Paris,Métropole,Nord,Dense,20,2025-01-19
20,4,Produit iPhone 004,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,21,2025-06-19
21,4,Produit iPhone 004,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,1,2025-02-23
22,4,Produit iPhone 004,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,1,2024-09-29
23,4,Produit iPhone 004,Occitanie,Nîmes,Grande Ville,Sud,Moyen,1,2024-12-15
24,4,Produit iPhone 004,Hauts-de-France,Amiens,Grande Ville,Nord,Dense,1,2025-06-23
25,4,Produit iPhone 004,Grand Est,Reims,Grande Ville,Nord,Moyen,1,2024-10-07
26,4,Produit iPhone 004,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,1,2024-11-25
27,4,Produit iPhone 004,Normandie,Caen,Grande Ville,Nord,Rural,1,2025-07-03
28,5,Produit Compléments 005,Île-de-France,Paris,Métropole,Nord,Dense,13,2025-04-13
29,5,Produit Compléments 005,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,5,2025-01-10
30,5,Produit Compléments 005,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,4,2025-08-02
31,5,Produit Compléments 005,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,3,2025-06-03
32,5,Produit Compléments 005,Occitanie,Nîmes,Grande Ville,Sud,Moyen,3,2024-12-21
33,5,Produit Compléments 005,Hauts-de-France,Amiens,Grande Ville,Nord,Dense,3,2024-09-21
34,5,Produit Compléments 005,Grand Est,Reims,Grande Ville,Nord,Moyen,2,2024-09-14
35,5,Produit Compléments 005,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,2,2024-12-22
36,5,Produit Compléments 005,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-03-05
37,6,Produit Sneakers 006,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,2,2025-04-27
38,8,Produit Casques 008,Île-de-France,Paris,Métropole,Nord,Dense,40,2025-02-26
39,8,Produit Casques 008,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,28,2025-08-19
