categories_id,category_1,category_2,category_3
1,Électronique,Smartphones,iPhone
2,Électronique,Ordinateurs,Laptops
3,Électronique,Audio,Casques
4,Électronique,Accessoires,Cables
5,Mode,Vêtements Homme,T-shirts
6,Mode,Vêtements Femme,Robes
7,Mode,Chaussures,Sneakers
8,Mode,Accessoires Mode,Sacs
9,Maison,Cuisine,Ustensiles
10,Maison,Décoration,Coussins
11,Maison,Électroménager,Micro-ondes
12,Sport,Fitness,Yoga
13,Sport,Outdoor,Randonnée
14,Sport,Sports Collectifs,Football
15,Santé,Bien-être,Compléments
