products_id,ps_cat,pd_cat
1,56.87,49.2
2,1186.63,985.57
3,1114.95,1011.1
4,1063.85,894.41
5,79.72,75.18
6,216.54,176.28
7,59.97,53.9
8,177.69,164.95
9,51.97,44.73
10,119.72,101.14
11,294.79,241.29
12,296.33,265.92
13,235.63,209.34
14,934.6,879.42
15,253.82,203.99
16,424.76,375.22
17,154.01,151.46
18,140.66,134.54
19,186.57,168.22
20,68.69,60.25
21,304.66,296.29
22,41.58,37.73
23,184.65,158.86
24,285.25,279.06
25,151.51,130.73
26,856.17,758.35
27,100.94,93.92
28,36.73,33.62
29,45.3,42.85
30,197.79,177.14
31,441.21,393.48
32,188.88,165.99
33,887.36,762.9
34,234.96,209.36
35,36.41,32.08
36,141.89,126.78
37,386.04,342.02
38,35.21,33.74
39,771.07,748.11
40,87.79,75.19
41,972.7,817.37
42,244.89,229.6
43,351.72,316.42
44,70.2,58.39
45,334.39,312.87
46,246.05,242.75
47,292.22,270.85
48,317.29,297.65
49,75.51,61.83
50,110.31,103.81
