products_id,pdt_name,categories_id,products_status,promo_id
1,Produit Sneakers 001,7,inactive,
2,Produit Casques 002,3,active,2.0
3,Produit iPhone 003,1,active,1.0
4,Produit iPhone 004,1,active,4.0
5,Produit Compléments 005,15,active,
6,Produit Sneakers 006,7,active,
7,Produit Compléments 007,15,inactive,4.0
8,Produit Casques 008,3,active,
9,Produit Coussins 009,10,active,
10,Produit T-shirts 010,5,active,3.0
11,Produit Yoga 011,12,active,2.0
12,Produit Coussins 012,10,active,3.0
13,Produit Robes 013,6,active,4.0
14,Produit iPhone 014,1,active,2.0
15,Produit Ustensiles 015,9,active,4.0
16,Produit Casques 016,3,active,1.0
17,Produit Ustensiles 017,9,active,1.0
18,Produit Micro-ondes 018,11,active,3.0
19,Produit Sneakers 019,7,active,
20,Produit Coussins 020,10,active,1.0
21,Produit Coussins 021,10,inactive,1.0
22,Produit Coussins 022,10,active,
23,Produit T-shirts 023,5,inactive,4.0
24,Produit Casques 024,3,active,2.0
25,Produit T-shirts 025,5,inactive,4.0
26,Produit Cables 026,4,inactive,4.0
27,Produit Robes 027,6,inactive,3.0
28,Produit Yoga 028,12,active,3.0
29,Produit Robes 029,6,inactive,3.0
30,Produit Sacs 030,8,active,4.0
31,Produit Laptops 031,2,active,3.0
32,Produit Robes 032,6,active,
33,Produit Casques 033,3,active,2.0
34,Produit Ustensiles 034,9,inactive,2.0
35,Produit Micro-ondes 035,11,inactive,3.0
36,Produit Randonnée 036,13,active,3.0
37,Produit Micro-ondes 037,11,inactive,2.0
38,Produit Sneakers 038,7,inactive,1.0
39,Produit Cables 039,4,active,4.0
40,Produit Robes 040,6,active,1.0
41,Produit Laptops 041,2,inactive,4.0
42,Produit Football 042,14,active,2.0
43,Produit Cables 043,4,inactive,3.0
44,Produit Randonnée 044,13,active,2.0
45,Produit Ustensiles 045,9,inactive,4.0
46,Produit Sacs 046,8,active,
47,Produit Micro-ondes 047,11,active,4.0
48,Produit Ustensiles 048,9,active,3.0
49,Produit Cables 049,4,active,2.0
50,Produit Micro-ondes 050,11,active,2.0
