products_id,pdt_segment
1,Économique
2,Premium
3,Économique
4,Économique
5,Économique
6,Premium
7,Standard
8,Économique
9,Standard
10,Standard
11,Économique
12,Premium
13,Standard
14,Standard
15,Standard
16,Standard
17,Standard
18,Premium
19,Économique
20,Premium
21,Standard
22,Premium
23,Premium
24,Premium
25,Économique
26,Standard
27,Premium
28,Économique
29,Standard
30,Économique
31,Premium
32,Standard
33,Économique
34,Premium
35,Standard
36,Standard
37,Premium
38,Premium
39,Standard
40,Standard
41,Standard
42,Standard
43,Premium
44,Standard
45,Standard
46,Économique
47,Standard
48,Premium
49,Standard
50,Économique
