DateKey,Date,Annee,Mois,MoisNom,MoisFrancais,Trimestre,TrimestreAnnee,SortOrder,AnneeMonth,MoisComplet,JourSemaine,JourSemaineNom,JourSemaineFrancais,EstWeekend,EstDebutMois,EstFinMois,SortOrderJour
20240901,2024-09-01,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,1,0,20240901
20240902,2024-09-02,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240902
20240903,2024-09-03,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240903
20240904,2024-09-04,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,3,Wednesday,Mercredi,0,0,0,20240904
20240905,2024-09-05,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,4,Thursday,Jeudi,0,0,0,20240905
20240906,2024-09-06,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,5,Friday,Vendredi,0,0,0,20240906
20240907,2024-09-07,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,6,Saturday,Samedi,1,0,0,20240907
20240908,2024-09-08,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,0,0,20240908
20240909,2024-09-09,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240909
20240910,2024-09-10,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240910
20240930,2024-09-30,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,1,20240930
20241001,2024-10-01,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,1,0,20241001
20241002,2024-10-02,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241002
20241003,2024-10-03,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,0,20241003
20241031,2024-10-31,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,1,20241031
20241101,2024-11-01,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,1,0,20241101
20241102,2024-11-02,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,0,20241102
20241130,2024-11-30,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,1,20241130
20241201,2024-12-01,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Déc 2024,7,Sunday,Dimanche,1,1,0,20241201
20241231,2024-12-31,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Déc 2024,2,Tuesday,Mardi,0,0,1,20241231
20250101,2025-01-01,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,1,0,20250101
20250131,2025-01-31,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,1,20250131
20250201,2025-02-01,2025,2,February,Février,T1,2025-T1,202502,2025-02,Fév 2025,6,Saturday,Samedi,1,1,0,20250201
20250228,2025-02-28,2025,2,February,Février,T1,2025-T1,202502,2025-02,Fév 2025,5,Friday,Vendredi,0,0,1,20250228
20250301,2025-03-01,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,6,Saturday,Samedi,1,1,0,20250301
20250331,2025-03-31,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,1,Monday,Lundi,0,0,1,20250331
20250401,2025-04-01,2025,4,April,Avril,T2,2025-T2,202504,2025-04,Avr 2025,2,Tuesday,Mardi,0,1,0,20250401
20250430,2025-04-30,2025,4,April,Avril,T2,2025-T2,202504,2025-04,Avr 2025,3,Wednesday,Mercredi,0,0,1,20250430
20250501,2025-05-01,2025,5,May,Mai,T2,2025-T2,202505,2025-05,Mai 2025,4,Thursday,Jeudi,0,1,0,20250501
20250531,2025-05-31,2025,5,May,Mai,T2,2025-T2,202505,2025-05,Mai 2025,6,Saturday,Samedi,1,0,1,20250531
20250601,2025-06-01,2025,6,June,Juin,T2,2025-T2,202506,2025-06,Jun 2025,7,Sunday,Dimanche,1,1,0,20250601
20250630,2025-06-30,2025,6,June,Juin,T2,2025-T2,202506,2025-06,Jun 2025,1,Monday,Lundi,0,0,1,20250630
20250701,2025-07-01,2025,7,July,Juillet,T3,2025-T3,202507,2025-07,Jul 2025,2,Tuesday,Mardi,0,1,0,20250701
20250731,2025-07-31,2025,7,July,Juillet,T3,2025-T3,202507,2025-07,Jul 2025,4,Thursday,Jeudi,0,0,1,20250731
20250801,2025-08-01,2025,8,August,Août,T3,2025-T3,202508,2025-08,Aoû 2025,5,Friday,Vendredi,0,1,0,20250801
20250831,2025-08-31,2025,8,August,Août,T3,2025-T3,202508,2025-08,Aoû 2025,7,Sunday,Dimanche,1,0,1,20250831
20250901,2025-09-01,2025,9,September,Septembre,T3,2025-T3,202509,2025-09,Sep 2025,1,Monday,Lundi,0,1,0,20250901
20250930,2025-09-30,2025,9,September,Septembre,T3,2025-T3,202509,2025-09,Sep 2025,2,Tuesday,Mardi,0,0,1,20250930
20251001,2025-10-01,2025,10,October,Octobre,T4,2025-T4,202510,2025-10,Oct 2025,3,Wednesday,Mercredi,0,1,0,20251001
20251031,2025-10-31,2025,10,October,Octobre,T4,2025-T4,202510,2025-10,Oct 2025,5,Friday,Vendredi,0,0,1,20251031
20251101,2025-11-01,2025,11,November,Novembre,T4,2025-T4,202511,2025-11,Nov 2025,6,Saturday,Samedi,1,1,0,20251101
20251130,2025-11-30,2025,11,November,Novembre,T4,2025-T4,202511,2025-11,Nov 2025,7,Sunday,Dimanche,1,0,1,20251130
20251201,2025-12-01,2025,12,December,Décembre,T4,2025-T4,202512,2025-12,Déc 2025,1,Monday,Lundi,0,1,0,20251201
20251231,2025-12-31,2025,12,December,Décembre,T4,2025-T4,202512,2025-12,Déc 2025,3,Wednesday,Mercredi,0,0,1,20251231
