DateKey,Date,Annee,Mois,MoisNom,MoisFrancais,Trimestre,TrimestreAnnee,SortOrder,AnneeMonth,MoisComplet,JourSemaine,JourSemaineNom,JourSemaineFrancais,EstWeekend,EstDebutMois,EstFinMois,SortOrderJour,SortOrderJourSemaine,SortOrderJourSemaineFr
20240901,2024-09-01,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,1,0,20240901,7,7
20240902,2024-09-02,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240902,1,1
20240903,2024-09-03,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240903,2,2
20240904,2024-09-04,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,3,Wednesday,Mercredi,0,0,0,20240904,3,3
20240905,2024-09-05,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,4,Thursday,Jeudi,0,0,0,20240905,4,4
20240906,2024-09-06,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,5,Friday,Vendredi,0,0,0,20240906,5,5
20240907,2024-09-07,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,6,Saturday,Samedi,1,0,0,20240907,6,6
20240908,2024-09-08,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,0,0,20240908,7,7
20240909,2024-09-09,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240909,1,1
20240910,2024-09-10,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240910,2,2
20240911,2024-09-11,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,3,Wednesday,Mercredi,0,0,0,20240911,3,3
20240912,2024-09-12,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,4,Thursday,Jeudi,0,0,0,20240912,4,4
20240913,2024-09-13,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,5,Friday,Vendredi,0,0,0,20240913,5,5
20240914,2024-09-14,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,6,Saturday,Samedi,1,0,0,20240914,6,6
20240915,2024-09-15,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,0,0,20240915,7,7
20240916,2024-09-16,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240916,1,1
20240917,2024-09-17,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240917,2,2
20240918,2024-09-18,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,3,Wednesday,Mercredi,0,0,0,20240918,3,3
20240919,2024-09-19,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,4,Thursday,Jeudi,0,0,0,20240919,4,4
20240920,2024-09-20,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,5,Friday,Vendredi,0,0,0,20240920,5,5
20240921,2024-09-21,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,6,Saturday,Samedi,1,0,0,20240921,6,6
20240922,2024-09-22,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,0,0,20240922,7,7
20240923,2024-09-23,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,0,20240923,1,1
20240924,2024-09-24,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,2,Tuesday,Mardi,0,0,0,20240924,2,2
20240925,2024-09-25,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,3,Wednesday,Mercredi,0,0,0,20240925,3,3
20240926,2024-09-26,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,4,Thursday,Jeudi,0,0,0,20240926,4,4
20240927,2024-09-27,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,5,Friday,Vendredi,0,0,0,20240927,5,5
20240928,2024-09-28,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,6,Saturday,Samedi,1,0,0,20240928,6,6
20240929,2024-09-29,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,7,Sunday,Dimanche,1,0,0,20240929,7,7
