AnneMois,Annee,Mois,MoisFrancais,MoisNom,Trimestre,TrimestreAnnee,SortOrder,DateKey,MoisComplet
2024-09,2024,9,Septembre,September,T3,2024-T3,202409,20240901,Sep 2024
2024-10,2024,10,Octobre,October,T4,2024-T4,202410,20241001,Oct 2024
2024-11,2024,11,Novembre,November,T4,2024-T4,202411,20241101,Nov 2024
2024-12,2024,12,Décembre,December,T4,2024-T4,202412,20241201,Déc 2024
2025-01,2025,1,Janvier,January,T1,2025-T1,202501,20250101,Jan 2025
2025-02,2025,2,Février,February,T1,2025-T1,202502,20250201,Fév 2025
2025-03,2025,3,Mars,March,T1,2025-T1,202503,20250301,Mar 2025
2025-04,2025,4,Avril,April,T2,2025-T2,202504,20250401,Avr 2025
2025-05,2025,5,Mai,May,T2,2025-T2,202505,20250501,Mai 2025
2025-06,2025,6,Juin,June,T2,2025-T2,202506,20250601,Jun 2025
2025-07,2025,7,Juillet,July,T3,2025-T3,202507,20250701,Jul 2025
2025-08,2025,8,Août,August,T3,2025-T3,202508,20250801,Aoû 2025
2025-09,2025,9,Septembre,September,T3,2025-T3,202509,20250901,Sep 2025
