Date,Annee,Mois,MoisNom,NombreVentes,QuantiteTotale,CAStandard,CADiscount,RemiseTotale,TauxRemise,PanierMoyen,QuantiteMoyenneParVente,NombreProduitsVendus,NombreCategoriesActives
2024-09-01,2024,9,September,17,83,13395.16,12202.92,1192.24,8.9,787.95,4.88,13,5
2024-10-01,2024,10,October,19,102,23283.52,20731.26,2552.26,10.96,1225.45,5.37,15,4
2024-11-01,2024,11,November,11,82,20855.34,19413.84,1441.5,6.91,1895.94,7.45,10,4
2024-12-01,2024,12,December,22,83,19115.92,17329.34,1786.58,9.35,868.91,3.77,16,5
2025-01-01,2025,1,January,45,256,110416.74,99711.31,10705.43,9.7,2453.71,5.69,26,5
2025-02-01,2025,2,February,28,219,60410.14,54432.78,5977.36,9.89,2157.5,7.82,19,4
2025-03-01,2025,3,March,26,128,40433.060000000005,37667.33,2765.73,6.84,1555.12,4.92,18,5
2025-04-01,2025,4,April,25,201,53746.37,46204.18,7542.19,14.03,2149.85,8.04,20,5
2025-05-01,2025,5,May,26,112,40904.94,36477.67,4427.27,10.82,1573.27,4.31,19,4
2025-06-01,2025,6,June,22,136,109803.37,93376.05,16427.32,14.96,4991.06,6.18,17,5
2025-07-01,2025,7,July,25,131,46643.38,42646.73,3996.65,8.57,1865.74,5.24,18,4
2025-08-01,2025,8,August,22,153,30360.7,28597.98,1762.72,5.81,1380.03,6.95,18,5
2025-09-01,2025,9,September,1,6,4626.42,4488.66,137.76,2.98,4626.42,6.0,1,1
