AnneeMonth,Annee,Mois,MoisNom,MoisFrancais,SortOrder,DateKey,MoisComplet,NombreVentes,QuantiteTotale,CAStandard,CADiscount,RemiseTotale,TauxRemise,PanierMoyen,QuantiteMoyenneParVente,NombreProduitsVendus,NombreCategoriesActives
2024-09,2024,9,September,Septembre,202409,20240901,Sep 2024,17,83,13395.16,12202.92,1192.24,8.9,787.95,4.88,13,5
2024-10,2024,10,October,Octobre,202410,20241001,Oct 2024,19,102,23283.52,20731.26,2552.26,10.96,1225.45,5.37,15,4
2024-11,2024,11,November,Novembre,202411,20241101,Nov 2024,11,82,20855.34,19413.84,1441.5,6.91,1895.94,7.45,10,4
2024-12,2024,12,December,Décembre,202412,20241201,Déc 2024,22,83,19115.92,17329.34,1786.58,9.35,868.91,3.77,16,5
2025-01,2025,1,January,Janvier,202501,20250101,Jan 2025,45,256,110416.74,99711.31,10705.43,9.7,2453.71,5.69,26,5
2025-02,2025,2,February,Février,202502,20250201,Fév 2025,28,219,60410.14,54432.78,5977.36,9.89,2157.5,7.82,19,4
2025-03,2025,3,March,Mars,202503,20250301,Mar 2025,26,128,40433.06,37667.33,2765.73,6.84,1555.12,4.92,18,5
2025-04,2025,4,April,Avril,202504,20250401,Avr 2025,25,201,53746.37,46204.18,7542.19,14.03,2149.85,8.04,20,5
2025-05,2025,5,May,Mai,202505,20250501,Mai 2025,26,112,40904.94,36477.67,4427.27,10.82,1573.27,4.31,19,4
2025-06,2025,6,June,Juin,202506,20250601,Jun 2025,22,136,109803.37,93376.05,16427.32,14.96,4991.06,6.18,17,5
2025-07,2025,7,July,Juillet,202507,20250701,Jul 2025,25,131,46643.38,42646.73,3996.65,8.57,1865.74,5.24,18,4
2025-08,2025,8,August,Août,202508,20250801,Aoû 2025,22,153,30360.7,28597.98,1762.72,5.81,1380.03,6.95,18,5
2025-09,2025,9,September,Septembre,202509,20250901,Sep 2025,26,145,39250.85,35896.28,3354.57,8.5,1509.65,5.58,19,5
2025-10,2025,10,October,Octobre,202510,20251001,Oct 2025,24,134,37530.45,34152.71,3377.74,9.0,1905.99,5.5,18,5
2025-11,2025,11,November,Novembre,202511,20251101,Nov 2025,28,179,50776.49,43160.01,7616.47,15.0,2329.54,6.2,22,5
2025-12,2025,12,December,Décembre,202512,20251201,Déc 2025,33,233,61814.85,54397.07,7417.78,12.0,2753.1,7.0,25,5
