Saison,Categorie,QuantiteTotale,CATotal,NombreVentes,NombreProduitsVendus,PanierMoyen,QuantiteMoyenneParVente,CATotalSaison,PourcentageCAParSaison
Automne,Électronique,74,31705.82,13,7,2438.91,5.69,62160.44,51.01
Automne,Maison,86,14382.57,12,6,1198.55,7.17,62160.44,23.14
Automne,Mode,64,11307.62,12,6,942.3,5.33,62160.44,18.19
Automne,Sport,44,4365.83,9,4,485.09,4.89,62160.44,7.02
Automne,Santé,5,398.6,2,1,199.3,2.5,62160.44,0.64
Hiver,Électronique,191,132826.16,36,11,3689.62,5.31,189942.8,69.93
Hiver,Maison,156,28626.07,25,8,1145.04,6.24,189942.8,15.07
Hiver,Mode,104,17181.14,18,7,954.51,5.78,189942.8,9.05
Hiver,Sport,97,10512.23,13,4,808.63,7.46,189942.8,5.53
Hiver,Santé,10,797.2,3,1,265.73,3.33,189942.8,0.42
Printemps,Électronique,124,91649.78000000001,26,10,3524.99,4.77,135084.37,67.85
Printemps,Mode,122,21036.33,16,7,1314.77,7.62,135084.37,15.57
Printemps,Maison,102,11946.06,19,9,628.74,5.37,135084.37,8.84
Printemps,Sport,79,9336.119999999999,14,5,666.87,5.64,135084.37,6.91
Printemps,Santé,14,1116.08,2,1,558.04,7.0,135084.37,0.83
Été,Électronique,222,149366.33,24,11,6223.6,9.25,186807.44999999998,79.96
Été,Mode,115,23795.82,18,6,1321.99,6.39,186807.44999999998,12.74
Été,Maison,48,7426.2,16,8,464.14,3.0,186807.44999999998,3.98
Été,Sport,28,5661.06,9,5,629.01,3.11,186807.44999999998,3.03
Été,Santé,7,558.04,2,1,279.02,3.5,186807.44999999998,0.3
