DateDebutSemaine,Annee,NumeroSemaine,SemaineAnnee,NombreVentes,QuantiteTotale,CATotal,PanierMoyenHebdo,QuantiteMoyenneParVente,NombreProduitsVendus,NombreCategoriesActives,TendanceHebdo
2024-09-02,2024,36,2024-S36,3,17,3018.0599999999995,1006.02,5.67,3,2,
2024-09-09,2024,37,2024-S37,2,14,3112.0400000000004,1556.02,7.0,2,2,3.11
2024-09-16,2024,38,2024-S38,8,44,4551.99,569.0,5.5,6,5,46.27
2024-09-23,2024,39,2024-S39,4,8,2713.0699999999997,678.27,2.0,4,2,-40.4
2024-09-30,2024,40,2024-S40,2,4,1034.58,517.29,2.0,2,2,-61.87
2024-10-07,2024,41,2024-S41,5,12,2589.72,517.94,2.4,4,3,150.32
2024-10-14,2024,42,2024-S42,7,44,14845.83,2120.83,6.29,7,3,473.26
2024-10-21,2024,43,2024-S43,3,29,1901.56,633.85,9.67,3,3,-87.19
2024-10-28,2024,44,2024-S44,4,24,3768.84,942.21,6.0,4,3,98.2
2024-11-04,2024,45,2024-S45,2,25,7300.8,3650.4,12.5,2,2,93.71
2024-11-11,2024,46,2024-S46,3,36,9932.9,3310.97,12.0,3,3,36.05
2024-11-18,2024,47,2024-S47,2,8,766.1800000000001,383.09,4.0,2,1,-92.29
2024-11-25,2024,48,2024-S48,2,2,1998.4499999999998,999.22,1.0,2,1,160.83
2024-12-02,2024,49,2024-S49,5,8,4546.99,909.4,1.6,5,2,127.53
2024-12-09,2024,50,2024-S50,3,5,1505.0099999999998,501.67,1.67,3,2,-66.9
2024-12-16,2024,51,2024-S51,5,12,2085.77,417.15,2.4,4,3,38.59
2024-12-23,2024,52,2024-S52,9,58,10978.15,1219.79,6.44,8,4,426.34
2024-12-30,2025,1,2025-S01,9,68,35820.770000000004,3980.09,7.56,9,4,226.29
2025-01-06,2025,2,2025-S02,10,50,7960.88,796.09,5.0,8,5,-77.78
2025-01-13,2025,3,2025-S03,12,53,34835.520000000004,2902.96,4.42,9,3,337.58
2025-01-20,2025,4,2025-S04,8,36,18973.0,2371.62,4.5,7,4,-45.54
2025-01-27,2025,5,2025-S05,8,72,16497.54,2062.19,9.0,7,3,-13.05
2025-02-03,2025,6,2025-S06,9,102,36700.020000000004,4077.78,11.33,8,4,122.46
2025-02-10,2025,7,2025-S07,4,11,2333.7999999999997,583.45,2.75,4,2,-93.64
2025-02-17,2025,8,2025-S08,5,19,5832.26,1166.45,3.8,4,2,149.9
2025-02-24,2025,9,2025-S09,8,64,11873.09,1484.14,8.0,6,3,103.58
2025-03-03,2025,10,2025-S10,9,31,8079.4800000000005,897.72,3.44,8,3,-31.95
2025-03-10,2025,11,2025-S11,6,34,6070.27,1011.71,5.67,6,3,-24.87
2025-03-17,2025,12,2025-S12,6,31,18651.47,3108.58,5.17,5,3,207.26
2025-03-24,2025,13,2025-S13,5,32,7631.84,1526.37,6.4,5,3,-59.08
2025-03-31,2025,14,2025-S14,5,17,6194.11,1238.82,3.4,5,2,-18.84
2025-04-07,2025,15,2025-S15,8,77,5780.469999999999,722.56,9.62,6,4,-6.68
2025-04-14,2025,16,2025-S16,4,58,3752.16,938.04,14.5,4,3,-35.09
2025-04-21,2025,17,2025-S17,8,49,38019.630000000005,4752.45,6.12,8,4,913.27
2025-04-28,2025,18,2025-S18,5,11,1620.83,324.17,2.2,5,4,-95.74
2025-05-05,2025,19,2025-S19,4,8,1858.21,464.55,2.0,4,4,14.65
2025-05-12,2025,20,2025-S20,6,54,23627.08,3937.85,9.0,5,2,1171.5
2025-05-19,2025,21,2025-S21,5,26,10400.490000000002,2080.1,5.2,5,3,-55.98
2025-05-26,2025,22,2025-S22,6,13,3398.33,566.39,2.17,6,4,-67.33
2025-06-02,2025,23,2025-S23,5,37,29610.98,5922.2,7.4,4,3,771.34
2025-06-09,2025,24,2025-S24,4,12,2619.3999999999996,654.85,3.0,3,3,-91.15
2025-06-16,2025,25,2025-S25,7,35,28385.43,4055.06,5.0,7,2,983.66
2025-06-23,2025,26,2025-S26,6,52,49187.560000000005,8197.93,8.67,6,4,73.28
2025-06-30,2025,27,2025-S27,4,13,3285.0299999999997,821.26,3.25,4,4,-93.32
2025-07-07,2025,28,2025-S28,7,60,29454.42,4207.77,8.57,7,3,796.63
2025-07-14,2025,29,2025-S29,6,18,6886.620000000001,1147.77,3.0,6,4,-76.62
2025-07-21,2025,30,2025-S30,5,19,3890.9800000000005,778.2,3.8,4,3,-43.5
2025-07-28,2025,31,2025-S31,5,31,4914.55,982.91,6.2,5,5,26.31
2025-08-04,2025,32,2025-S32,6,42,7294.040000000001,1215.67,7.0,4,3,48.42
2025-08-11,2025,33,2025-S33,4,5,1629.45,407.36,1.25,4,3,-77.66
2025-08-18,2025,34,2025-S34,6,59,10422.82,1737.14,9.83,5,3,539.65
2025-08-25,2025,35,2025-S35,4,37,9226.17,2306.54,9.25,4,3,-11.48
2025-09-01,2025,36,2025-S36,1,6,4626.42,4626.42,6.0,1,1,-49.86
