Date,Annee,Trimestre,Resultat_Net_Millions_Euro,Variation_Pct,ROE_Pct,ROA_Pct,Commentaire_Performance
2023-03-31,2023,Q1,2450,-8.5,9.2,0.42,Impact provisions COVID
2023-06-30,2023,Q2,2680,1.2,9.8,0.45,Amélioration graduelle
2023-09-30,2023,Q3,2520,-2.1,9.4,0.43,Ajustements comptables
2023-12-31,2023,Q4,2790,8.4,10.1,0.47,Fin d'année robuste
2024-03-31,2024,Q1,2850,16.3,10.3,0.48,Excellente performance
2024-06-30,2024,Q2,2920,9.0,10.6,0.49,Croissance soutenue
2024-09-30,2024,Q3,2780,10.3,10.2,0.47,Performance solide
2024-12-31,2024,Q4,3100,11.1,11.1,0.52,Record annuel
2023-12-31,2023,Annuel,10440,-1.2,9.6,0.44,Année de transition
2024-12-31,2024,Annuel,11650,11.6,10.6,0.49,Année exceptionnelle
