product_id,product_name,category,brand,original_price,current_price,discount_percent,rating,num_reviews,monthly_sales,stock_quantity,prime_eligible,date_added,seller_type,shipping_weight,dimensions,availability
ASIN_000001,Purina Pet Supplies Product 1,Pet Supplies,Purina,81.16,42.38,47.8,3.6,1,1,33,True,2024-02-18,Amazon,0.58,25x37x14,In Stock
ASIN_000002,Pampers Baby Products Product 2,Baby Products,Pampers,189.32,189.32,0.0,2.8,4,0,71,False,2024-07-20,Amazon,8.28,7x41x21,Pre-order
ASIN_000003,LEGO Toys & Games Product 3,Toys & Games,LEGO,140.86,105.26,25.3,2.7,10,1,53,True,2024-07-15,Amazon Warehouse,2.27,6x10x24,Pre-order
ASIN_000004,LG Electronics Product 4,Electronics,LG,1116.09,1116.09,0.0,3.8,3,2,49,False,2023-08-05,Third-party,0.76,49x45x17,In Stock
ASIN_000005,Chemical Guys Automotive Product 5,Automotive,Chemical Guys,181.96,171.58,5.7,4.5,28,1,44,False,2023-05-15,Amazon,3.89,16x38x3,Pre-order
ASIN_000006,Hasbro Toys & Games Product 6,Toys & Games,Hasbro,26.76,21.68,19.0,4.7,52,10,87,True,2024-04-05,Third-party,0.55,36x43x19,In Stock
ASIN_000007,Calvin Klein Clothing Product 7,Clothing,Calvin Klein,104.59,75.42,27.9,4.0,19,3,68,False,2023-01-28,Amazon Warehouse,0.59,24x34x13,Limited Stock
ASIN_000008,Nikon Electronics Product 8,Electronics,Nikon,682.47,682.47,0.0,4.5,78,6,86,False,2024-11-14,Third-party,0.66,36x36x26,In Stock
ASIN_000009,Unilever Health & Household Product 9,Health & Household,Unilever,71.79,71.79,0.0,4.3,66,3,65,True,2023-08-13,Third-party,2.11,6x48x28,Pre-order
ASIN_000010,Penguin Books Product 10,Books,Penguin,49.4,41.55,15.9,4.1,53,9,79,True,2023-12-12,Third-party,1.54,23x24x9,In Stock
ASIN_000011,Penguin Books Product 11,Books,Penguin,15.32,15.32,0.0,3.0,7,2,32,True,2023-05-24,Third-party,3.5,6x5x18,In Stock
ASIN_000012,Neutrogena Beauty & Personal Care Product 12,Beauty & Personal Care,Neutrogena,145.16,101.43,30.1,4.1,258,37,103,True,2024-02-24,Amazon Warehouse,4.68,24x39x18,Pre-order
ASIN_000013,Tommy Hilfiger Clothing Product 13,Clothing,Tommy Hilfiger,43.92,43.92,0.0,4.7,30,4,42,True,2023-07-14,Amazon,2.24,37x16x29,In Stock
ASIN_000014,STP Automotive Product 14,Automotive,STP,380.36,315.95,16.9,4.5,80,31,73,False,2023-02-06,Amazon Warehouse,5.37,35x39x3,Pre-order
ASIN_000015,Random House Books Product 15,Books,Random House,11.16,11.16,0.0,4.3,48,5,63,False,2023-06-04,Amazon,0.8,30x21x10,In Stock
ASIN_000016,Olay Beauty & Personal Care Product 16,Beauty & Personal Care,Olay,107.58,68.19,36.6,4.3,286,46,440,True,2024-05-26,Amazon Warehouse,1.11,18x16x21,Pre-order
ASIN_000017,Maybelline Beauty & Personal Care Product 17,Beauty & Personal Care,Maybelline,57.32,57.32,0.0,4.1,71,2,31,True,2023-02-23,Amazon Warehouse,1.64,41x37x10,Limited Stock
ASIN_000018,Cuisinart Home & Kitchen Product 18,Home & Kitchen,Cuisinart,389.6,332.28,14.7,3.9,28,4,61,False,2024-08-26,Amazon Warehouse,2.83,30x41x28,Limited Stock
ASIN_000019,Chicco Baby Products Product 19,Baby Products,Chicco,289.35,289.35,0.0,3.9,3,0,57,True,2023-08-25,Third-party,0.76,20x43x7,In Stock
ASIN_000020,Pyrex Home & Kitchen Product 20,Home & Kitchen,Pyrex,313.63,313.63,0.0,4.0,0,0,78,False,2023-04-04,Amazon,3.97,9x16x18,In Stock
ASIN_000021,Hill's Pet Supplies Product 21,Pet Supplies,Hill's,28.59,28.59,0.0,3.7,18,2,78,True,2024-10-20,Amazon,1.5,5x9x15,Limited Stock
ASIN_000022,Playmobil Toys & Games Product 22,Toys & Games,Playmobil,45.14,45.14,0.0,4.5,330,78,227,True,2024-03-02,Amazon Warehouse,5.78,7x5x3,In Stock
ASIN_000023,Purina Pet Supplies Product 23,Pet Supplies,Purina,133.78,133.78,0.0,4.5,2,0,96,True,2024-08-24,Third-party,0.93,45x11x6,Pre-order
ASIN_000024,L'Oreal Beauty & Personal Care Product 24,Beauty & Personal Care,L'Oreal,107.0,84.88,20.7,4.3,99,26,45,True,2023-03-17,Amazon,0.98,32x18x22,Pre-order
ASIN_000025,Gerber Baby Products Product 25,Baby Products,Gerber,178.43,178.43,0.0,2.8,45,5,32,False,2023-06-12,Amazon Warehouse,4.47,47x15x20,In Stock
ASIN_000026,Blue Buffalo Pet Supplies Product 26,Pet Supplies,Blue Buffalo,194.04,194.04,0.0,4.2,49,3,18,True,2023-12-05,Amazon,1.84,49x5x24,In Stock
ASIN_000027,Maybelline Beauty & Personal Care Product 27,Beauty & Personal Care,Maybelline,123.79,123.79,0.0,3.2,23,2,99,False,2023-08-08,Amazon Warehouse,1.79,24x32x10,In Stock
ASIN_000028,Scotts Garden & Outdoor Product 28,Garden & Outdoor,Scotts,96.99,96.99,0.0,4.1,44,6,65,True,2023-08-01,Third-party,10.01,41x40x5,Limited Stock
ASIN_000029,Penguin Books Product 29,Books,Penguin,37.21,34.09,8.4,4.4,122,6,490,True,2024-01-08,Amazon,0.75,32x40x28,In Stock
ASIN_000030,Fisher-Price Baby Products Product 30,Baby Products,Fisher-Price,125.66,125.66,0.0,4.5,46,15,82,False,2023-08-30,Amazon Warehouse,1.7,9x37x24,In Stock
ASIN_000031,KitchenAid Home & Kitchen Product 31,Home & Kitchen,KitchenAid,409.07,409.07,0.0,2.7,57,1,10,True,2024-04-20,Amazon Warehouse,3.45,35x9x8,Pre-order
ASIN_000032,Mattel Toys & Games Product 32,Toys & Games,Mattel,183.94,183.94,0.0,4.3,23,3,10,False,2023-02-03,Amazon Warehouse,0.99,12x43x28,In Stock
ASIN_000033,Gerber Baby Products Product 33,Baby Products,Gerber,156.98,156.98,0.0,4.5,280,39,300,True,2023-07-26,Third-party,3.17,18x6x13,Limited Stock
ASIN_000034,Colgate Health & Household Product 34,Health & Household,Colgate,25.23,22.42,11.1,2.7,13,1,97,True,2023-03-22,Third-party,6.07,8x14x26,In Stock
ASIN_000035,Miracle-Gro Garden & Outdoor Product 35,Garden & Outdoor,Miracle-Gro,509.99,509.99,0.0,4.4,86,5,32,True,2023-07-14,Amazon Warehouse,4.25,31x33x20,Pre-order
ASIN_000036,LG Electronics Product 36,Electronics,LG,1223.77,1039.31,15.1,3.5,26,3,21,True,2023-03-14,Third-party,0.29,26x34x13,In Stock
ASIN_000037,P&G Health & Household Product 37,Health & Household,P&G,92.48,85.31,7.8,4.6,22,4,95,True,2024-11-29,Amazon Warehouse,0.68,11x7x17,In Stock
ASIN_000038,Chicco Baby Products Product 38,Baby Products,Chicco,255.67,255.67,0.0,3.6,28,2,48,True,2024-06-20,Third-party,4.52,24x29x6,Limited Stock
ASIN_000039,Penguin Books Product 39,Books,Penguin,22.91,15.08,34.2,4.8,103,26,91,True,2023-11-11,Third-party,8.71,41x37x23,Limited Stock
ASIN_000040,Bosch Automotive Product 40,Automotive,Bosch,119.75,119.75,0.0,4.4,28,1,64,False,2024-06-26,Amazon,1.16,40x28x8,In Stock
ASIN_000041,Hasbro Toys & Games Product 41,Toys & Games,Hasbro,88.6,88.6,0.0,3.6,91,11,17,True,2024-05-25,Amazon,1.41,47x7x3,In Stock
ASIN_000042,Colgate Health & Household Product 42,Health & Household,Colgate,40.08,29.88,25.4,3.8,1,2,82,True,2024-08-28,Third-party,0.33,9x48x20,In Stock
ASIN_000043,Calvin Klein Clothing Product 43,Clothing,Calvin Klein,50.42,50.42,0.0,4.2,158,20,369,False,2024-01-14,Amazon,2.11,8x29x15,In Stock
ASIN_000044,Pedigree Pet Supplies Product 44,Pet Supplies,Pedigree,121.78,121.78,0.0,3.0,32,3,72,False,2024-09-07,Amazon,0.62,43x10x8,In Stock
ASIN_000045,Fisher-Price Toys & Games Product 45,Toys & Games,Fisher-Price,76.57,76.57,0.0,3.9,27,2,36,False,2024-02-15,Amazon,2.82,8x26x4,In Stock
ASIN_000046,LEGO Toys & Games Product 46,Toys & Games,LEGO,156.05,156.05,0.0,3.6,36,5,65,True,2024-09-18,Third-party,2.47,40x30x13,Limited Stock
ASIN_000047,Playmobil Toys & Games Product 47,Toys & Games,Playmobil,125.82,125.82,0.0,4.3,134,13,153,True,2024-09-14,Amazon,2.69,47x16x14,Limited Stock
ASIN_000048,Penguin Books Product 48,Books,Penguin,31.74,31.74,0.0,4.2,101,16,100,True,2024-09-04,Amazon Warehouse,8.48,40x27x27,Limited Stock
