date,total_sales,revenue,orders,unique_customers
2023-01-01,1084,52562.6730821182,933,857
2023-01-02,1272,94570.40836713779,943,869
2023-01-03,1094,31232.220383015607,880,793
2023-01-04,939,64034.2206124108,676,725
2023-01-05,1081,51156.039676190994,885,738
2023-01-06,1164,71224.5025780141,1025,782
2023-01-07,1028,29186.37960256854,750,713
2023-01-08,1093,59745.083651040324,836,754
2023-01-09,939,50368.08217204668,748,581
2023-01-10,846,47479.69564567154,655,634
2023-01-11,1146,68532.28858925182,970,862
2023-01-12,1025,27948.080893587306,775,728
2023-01-13,1077,67669.48697661482,774,675
2023-01-14,1062,39026.042545971104,882,772
2023-01-15,992,41940.367107844824,805,676
2023-01-16,968,43661.075892827925,708,606
2023-01-17,1059,52514.46431758633,860,839
2023-01-18,1043,51533.70331752221,871,717
2023-01-19,881,39170.723485306444,789,652
2023-01-20,786,56722.06294240812,699,570
2023-01-21,1131,68712.39048373517,955,835
2023-01-22,1086,33963.63070948559,972,700
2023-01-23,1000,48226.74278596742,767,636
2023-01-24,938,56473.54587625937,707,668
2023-01-25,1046,65503.46884248071,867,651
2023-01-26,950,54993.33886054021,808,702
2023-01-27,825,23169.026436639324,649,621
2023-01-28,1094,44167.34797683156,917,798
2023-01-29,1190,77768.00187811926,857,848
2023-01-30,870,42357.757638893694,637,562
2023-01-31,1153,64769.40601723062,865,918
2023-02-01,1154,83838.47834799247,1035,889
2023-02-02,1184,54892.30347797768,993,805
2023-02-03,1165,59296.335697849936,1027,700
2023-02-04,1200,34467.91171502005,869,830
2023-02-05,1261,34078.928266101866,964,825
2023-02-06,1018,66524.97711731098,792,668
2023-02-07,1186,81571.16393423954,1001,932
2023-02-08,968,67154.33994478433,821,607
2023-02-09,938,53358.98059437402,749,728
2023-02-10,947,52584.56466287764,793,756
2023-02-11,1066,61294.22078590375,904,668
2023-02-12,1370,38438.49879158072,1055,952
2023-02-13,791,21537.79421590663,634,500
2023-02-14,1037,52988.36561093242,841,799
2023-02-15,1095,38883.79680872772,869,698
2023-02-16,818,60444.01878512146,659,494
2023-02-17,982,62934.09465397047,843,722
2023-02-18,1331,34055.132820679195,1172,960
2023-02-19,1269,54616.359964993775,1014,1007
2023-02-20,1041,52712.434770353,927,728
2023-02-21,1035,41673.74350136471,749,661
2023-02-22,842,28337.814209591208,657,652
2023-02-23,1117,76479.86481962074,822,708
2023-02-24,961,25718.329713889514,792,671
2023-02-25,1222,52469.47734098447,929,772
2023-02-26,1243,72835.85911693654,881,872
2023-02-27,1035,62853.720610421726,775,752
2023-02-28,1026,63273.22991503299,873,774
2023-03-01,872,46545.21231028485,724,553
2023-03-02,1089,47486.96329447724,868,850
2023-03-03,914,50839.13646751471,643,685
2023-03-04,1160,65766.87953150357,814,924
2023-03-05,1267,34049.757602058606,1123,981
2023-03-06,964,30278.96879967748,760,701
2023-03-07,1065,71683.06740272639,882,741
2023-03-08,747,40636.31307423528,550,451
2023-03-09,1096,43974.815520552314,788,778
2023-03-10,1230,81036.86838356766,1093,810
2023-03-11,1156,83390.33630230947,926,700
2023-03-12,1353,44264.58739549328,1186,957
2023-03-13,972,28454.839326760008,818,605
2023-03-14,926,61095.29425597674,733,732
2023-03-15,1074,75363.8794731937,966,763
2023-03-16,1085,38384.045896179625,801,811
2023-03-17,1034,45652.59762775306,866,629
2023-03-18,1385,49218.68287953184,1133,897
2023-03-19,1212,50014.18578957012,998,771
2023-03-20,967,51205.28731842796,757,631
2023-03-21,1026,61714.529508372376,814,698
2023-03-22,905,64047.66683497588,693,636
2023-03-23,1108,42393.68706400992,806,880
2023-03-24,867,31290.63685730033,617,608
2023-03-25,1479,79766.63480788792,1118,899
2023-03-26,1176,50325.647009340406,938,877
2023-03-27,1111,45517.41520893203,961,874
2023-03-28,1020,53116.28914770921,874,763
2023-03-29,1166,84606.50183871671,957,754
2023-03-30,798,25497.030941341527,694,619
2023-03-31,1086,53040.82951568448,956,840
2023-04-01,1057,54321.90787058305,919,639
2023-04-02,1259,74259.6810255243,943,903
2023-04-03,1205,44067.85129681859,929,769
